Food,Sleeping,Family.Domestic,Time.of.day,Talking.Turkey,Humdrum.nature,Values,children.school.play,The.Firm,X.Nothing.,polite.women,ABC.s.,Sentimental,Space.Place,Gentlemen1,New.York..northeast,Movement.along.a.Path,Sound,Interior.Spaces,Verbs.of.Communication.,Time.of.our.lives,Nobility,Imperative.Verbs,City.Spaces,Colors.Facial.Features,Gestalt,Discrete.Numbers,Domestic.interior,Sentimental2,Body.Parts,Colloquialisms..19th.c...,Business,X1790s,dialogue,This.one.s.for.the.ladies,Guns,Past.Tense.Verbs,Hospitals,Assault,Communication1,Marriage,Storming.the.Castle,Driving,Crime1,Family,Music,Speech.Verbs,Ships.Nautical,Trains,Rugged.sylvan.nature,James,Patterson,Nothing.,Alcohol,Radcliffe,Clothes,Beauty,Death1,Thack.Dick,noncommital.speech,The.Future.,The.Woman.in.White,Old.Timey.Sentiment,Office,Dramatic.weather,Pelecanos,Crime,Freshwater,love.lovesickness,Aging,House.apartment,American.Government..Clancy.,Letter.writing,Late.20th.Century.Mystery,Children,religion,Narration,Communication,nationality,Physical.pain,Bullfight.Watching,England,Guys..Stephenson.,Excessive.Contractions,Debates,Meaning.of.Life,calendar.time,Suspense.MDW,NonSuspense.MDW,Tagging.SS.High.MDWs,Tagging.SS.Low.MDWs
eat,bed,mrs,morning,say,trees,good,boy,mark,us,miss,s,heart,wall,sir,new,saw,voice,door,said,old,master,get,street,black,one,five,room,heart,like,well,money,lord,hes,woman,gun,went,doctor,back,yes,wife,upon,car,justice,father,music,said,ship,train,now,lily,tom,might,drink,emily,hat,beautiful,dead,young,people,will,house,thou,office,light,said,police,water,love,man,door,president,letter,id,dear,church,told,dont,de,blood,men,country,just,im,can,upon,day,lorenzo,utopia,struggled,governor
food,night,mr,night,words,tree,things,little,asked,now,lady,one,mind,light,said,york,see,heard,room,looked,years,o,can,streets,white,large,two,table,upon,back,good,pay,lady,know,girl,shot,came,dr,ran,oh,husband,soon,back,life,mother,play,replied,sea,station,upon,archer,kate,place,glass,now,coat,beauty,death,gentleman,just,shall,laura,thy,desk,night,got,killed,river,never,old,room,one,read,didnt,poor,god,tell,know,french,hand,one,great,around,dont,may,might,days,digger,amelia,pendulum,masters
coffee,sleep,said,day,word,grass,make,children,said,see,young,t,tears,floor,francis,city,way,sound,hall,head,long,ill,ill,corner,eyes,appearance,three,chair,conduct,mouth,got,thousand,count,dont,young,one,back,nurse,toward,know,married,castle,road,man,son,like,cried,boat,one,mountains,new,now,one,bar,appeared,clothes,little,body,ladies,things,must,time,thee,phone,fire,back,murder,lake,life,one,floor,two,paper,back,little,christian,know,want,paris,head,people,many,can,youre,will,mind,time,carlyle,barton,bandage,loved
kitchen,morning,husband,hour,speak,like,better,school,just,let,mr,c,yet,stone,will,big,walk,hear,opened,shook,ago,till,want,window,blue,seemed,four,window,character,legs,get,hundred,will,thats,little,two,got,hospital,shouted,well,marriage,immediately,drove,upon,brother,one,will,captain,man,light,seemed,said,time,bottle,upon,white,flowers,life,old,way,can,first,will,call,dark,right,found,beach,loved,mans,open,hed,letters,like,good,faith,never,like,english,eyes,crowd,england,like,ive,think,now,two,gran,ferris,shriek,married
table,room,room,next.,now,hill,way,boys,okay,one,room,b,happiness,walls,man,america,gate,now,open,nodded,time,catherine,go,city,red,part,twenty,sat,affection,body,just,business,said,shes,girls,fire,took,one,head,see,woman,time,drive,innocent,daughter,dance,answered,deck,two,among,van,thought,find,table,however,hair,fair,last,great,like,may,london,shall,number,wind,cigarette,know,like,heart,men,opened,asked,write,got,will,man,story,think,one,body,two,family,one,know,say,thus,week,geoffrey,edith,steel,dinner
bread,asleep,must,evening,nothing,green,much,peter,two,time,ladies,d,feelings,feet,well,people,walked,voices,stairs,face,never,well,take,shop,hair,several,one,sitting,though,hair,old,dollars,countess,im,one,right,put,ha,screamed,think,family,situation,cars,prison,child,ball,exclaimed,one,bag,mountain,always,just,found,wine,chamber,wore,air,died,little,even,let,left,heaven,name,rain,looked,kill,bridge,one,young,key,officer,wrote,wasnt,must,religion,knew,say,monsieur,face,man,among,hes,thats,know,means,every,randy,emerson,descent,pretty
milk,slept,dear,oclock,answer,leaves,thing,child,door,can,dear,m,sorrow,top,james,american,come,silence,window,smiled,life,come,dont,walked,like,small,six,little,subject,smell,oh,paid,matilda,got,women,left,go,patient,began,say,life,without,seat,death,fathers,played,continued,ships,way,sun,felt,didnt,safe,one,till,shoes,sweet,die,gentlemen,really,make,day,art,telephone,cold,yeah,knew,sea,world,another,back,people,note,around,know,priest,heard,anything,la,back,women,english,get,want,believe,yet,year,ryan,sax,band,lived
eating,lay,poor,last,tell,sun,bad,one,around,well,might,now,every,iron,yes,home,came,sounds,steps,asked,remember,good,now,building,face,attention,hundred,looking,mind,face,pretty,pounds,shall,theres,like,man,said,doctors,around,now,children,received,front,guilty,family,game,returned,like,time,scene,back,wanted,way,beer,might,suit,lovely,now,george,everything,give,count,let,called,sky,around,someone,sand,woman,name,went,american,written,asked,quite,religious,truth,tell,little,left,others,every,way,ill,well,time,three,monroe,tuileries,iron,liked
cup,still,house,time,question,ground,think,like,talk,make,ladys,well,grief,building,good,old,looking,still,heard,eyes,now,go,cant,park,brown,appeared,ten,dining,might,around,like,buy,cried,cant,look,hand,going,see,feet,just,marry,till,right,crime,mothers,playing,shall,board,little,along,long,two,made,two,st,dress,fine,one,friend,think,find,anne,yet,card,like,clay,one,fish,ever,way,kitchen,jack,writing,just,think,great,said,mean,madame,arm,faces,known,back,youve,much,made,first,vic,cecil,upward,year
ate,sleeping,tea,home,one,woods,enough,home,get,little,poor,e,friend,high,say,school,turned,low,closed,turned,since,poor,let,front,dark,whose,years,chairs,passion,hands,say,ten,madam,can,face,shoot,saw,said,saw,tell,never,informed,got,guilt,sister,song,never,cabin,just,moon,ralph,finally,without,another,count,black,young,dying,lady,life,know,words,thus,ill,darkness,know,find,away,women,hand,locked,intelligence,hand,get,shall,st,saw,cant,made,pain,many,poor,big,cant,perhaps,new,months,greenwood,dublin,scarcely,blue
